,VehPower,VehAge,DrivAge,BonusMalus,Density,Area,VehGas,VehBrand_B1,VehBrand_B10,VehBrand_B11,VehBrand_B12,VehBrand_B13,VehBrand_B14,VehBrand_B2,VehBrand_B3,VehBrand_B4,VehBrand_B5,VehBrand_B6,Region_R11,Region_R21,Region_R22,Region_R23,Region_R24,Region_R25,Region_R26,Region_R31,Region_R41,Region_R42,Region_R43,Region_R52,Region_R53,Region_R54,Region_R72,Region_R73,Region_R74,Region_R82,Region_R83,Region_R91,Region_R93,Region_R94
0,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967,82434.56919692967
1,82432.0849945427,82430.95633868575,82426.92547148812,82425.39178869448,82424.26129749301,82423.24787071515,82422.21081085838,82420.45701084666,82419.9952046827,82419.85592625465,82418.31386242932,82417.9171191848,82417.82890556598,82416.38078191929,82415.79595672917,82415.51887056843,82415.29435747533,82415.04700247577,82414.4098375132,82413.58462969487,82413.15467094627,82413.01531311733,82410.15357010148,82409.78877592468,82409.7363112673,82409.23958464812,82408.99210800626,82408.90692511597,82408.79789905125,82408.64371335931,82408.0185533292,82407.08567805053,82406.60173363659,82406.3866592784,82406.13590282397,82405.7548086372,82405.57882708972,82405.12898034137,82404.39895666376,82404.1978727755
2,82401.65729192097,82400.49615225304,82395.3846057608,82394.21758557814,82393.19397439362,82392.29554573455,82391.3502145928,82389.75728097017,82389.11387352702,82388.97779595056,82387.48021328455,82387.1100678559,82387.02342178917,82385.68159561572,82385.17592680955,82384.90393291233,82384.69981847127,82384.51121095716,82383.89889901191,82383.17452458484,82382.79191203532,82382.65529769027,82379.91480601116,82379.61554242994,82379.56591541109,82379.0814361162,82378.839877205,82378.75603830547,82378.64912597537,82378.5020025867,82377.9122887197,82377.08127598962,82376.63972321476,82376.43945980843,82376.23945432884,82375.9157447897,82375.74616756439,82375.30296353533,82374.6183103878,82374.43601031853
3,82372.10259524011,82371.0016652632,82366.09144740045,82365.53742866655,82364.61324094862,82363.4966377478,82362.61505131426,82361.14135124753,82360.56081545557,82360.42785216156,82358.97734428779,82358.76035506878,82358.70050620695,82357.44556660332,82356.97347670863,82356.70731368862,82356.5204784662,82356.27752068205,82355.88903492024,82355.21300469624,82354.87132171514,82354.73751823079,82352.10995245016,82351.84492320579,82351.79752908467,82351.58325418143,82351.34751389796,82351.26497812918,82351.15950847443,82350.98749949376,82350.42606915391,82349.70441514117,82349.50089505634,82349.30758313288,82349.13730005841,82348.85581642992,82348.67397263952,82348.23762155093,82347.75957211433,82347.58025571093
4,82345.41206054567,82344.3619368861,82339.6311515789,82339.15456630161,82338.27276181141,82337.21574826544,82336.26512753147,82334.42631107876,82334.24895568355,82334.11902034593,82332.71127312374,82332.50049174005,82332.44129047557,82331.30320585449,82330.85981970283,82330.59916989977,82330.42780945601,82330.21049817196,82329.6421155132,82329.04355513309,82328.87387059582,82328.74288657984,82326.26472933246,82326.02852993642,82325.98324712217,82325.77246436448,82325.54237119194,82325.46117606826,82325.35773481696,82325.19267072577,82324.65708406837,82324.00559327629,82323.80564291493,82323.61625403966,82323.46347602899,82323.21117873827,82323.05284836705,82322.62313061988,82322.15280451853,82321.9671795555
5,82318.70897865159,82317.38929663508,82312.82828802321,82312.40361977715,82311.56460286387,82310.55615704496,82308.868581648,82307.09137916676,82306.9183782826,82306.79148517443,82305.43476555022,82305.22899418972,82305.17090931608,82304.26647654828,82303.86945605799,82303.61484388239,82303.45608884338,82303.25523699282,82302.8959227571,82302.79348329245,82302.58281201612,82302.45502402133,82300.06477656885,82299.852060534,82299.79425074579,82299.58813512011,82299.36306328882,82299.28317936935,82299.18155229263,82299.09154629646,82298.57634002055,82297.98240189473,82297.78616460893,82297.60143328393,82297.42284582392,82297.19299444277,82297.02225664191,82296.60082484309,82296.14120096005,82295.96617526046
6,82292.83979494512,82291.86826816869,82286.21875533275,82285.83068546053,82285.0659277192,82284.09941513391,82282.44308224591,82280.7289088976,82280.56009196216,82280.43617372951,82279.12617095391,82278.91297971849,82278.82845287089,82277.95704678528,82277.57180635612,82277.3233225717,82276.89074077553,82276.66029629795,82276.31585384964,82276.21494724153,82276.08046752987,82275.9557248365,82273.64684813886,82273.45427604034,82273.39827797367,82273.19722186477,82272.97672816979,82272.89810177247,82272.79797481632,82272.6421343734,82272.14452548462,82271.60086273601,82271.40824349622,82271.22836260073,82271.05699450629,82270.84428852348,82270.69562352856,82270.28263518587,82269.83469905966,82269.66285016801
7,82266.66104502838,82265.45983166013,82259.97615155982,82259.62030165858,82258.88575091465,82257.95785673313,82256.27813084266,82254.62543673781,82254.46072156922,82254.33971043138,82253.07472988946,82252.87744005994,82252.82115029302,82251.98246969347,82251.60892022599,82251.3663861554,82251.23116945688,82250.9555427585,82250.62545442535,82250.5632492778,82250.35888778372,82250.231620487,82248.00197657724,82247.7981509261,82247.74393078299,82247.54786144143,82247.33184105477,82247.25448350665,82247.1562964661,82247.06966208492,82246.58885063296,82246.08978794012,82245.90075319304,82245.7227737002,82245.56196926312,82245.36444283114,82245.2031324738,82244.79851726026,82244.36161237364,82244.19291921984
8,82241.18438969651,82239.9661546368,82234.64256183905,82234.31351483981,82233.60731640825,82232.71139029111,82231.09681348181,82229.1394534986,82228.63230021688,82228.51410973424,82227.29231265905,82227.09957238512,82227.02467330209,82226.21683620542,82225.853799025,82225.61691292166,82225.48827972932,82225.26877833976,82224.95278187229,82224.85442719849,82224.72481896877,82224.60497500491,82222.45165378076,82222.29199912894,82222.2396125978,82221.9452245712,82221.7335516713,82221.65728108115,82221.5606242007,82221.47595259642,82221.01020390124,82220.78906141059,82220.60332341783,82220.43152546525,82220.2763069541,82220.09167744231,82219.98659929555,82219.59062076602,82219.16488108141,82218.99923775234
9,82216.09258756925,82214.66260859549,82209.48776481679,82208.94799247218,82208.27003039843,82207.40460424249,82205.82739237807,82203.93172080434,82203.77466315507,82203.65926047176,82202.47881068563,82202.27836763964,82202.22388901895,82201.44664308731,82201.0941524237,82200.8623686503,82200.74056793939,82200.5277318322,82200.22470304745,82200.1278239041,82199.92964721506,82199.80702817082,82197.72876252585,82197.48061926798,82197.42989095076,82197.14251174389,82196.93509125453,82196.85998347848,82196.76496512431,82196.68215918435,82196.23172575762,82196.01772249489,82195.83569042484,82195.66829524984,82195.51809079255,82195.34496491266,82195.22512488859,82194.83737309836,82194.42224222241,82194.25961502592
