,beta0
VehPower,0.4576867329050882
VehAge,-1.7114688412127732
DrivAge,0.5781564122430157
BonusMalus,6.044848121346284
Density,-0.03571605114104405
Area,0.48376222141343617
VehGas,-0.1668355768139557
VehBrand_B1,-0.37262479349110544
VehBrand_B10,-0.35058754173167433
VehBrand_B11,-0.21195030200194923
VehBrand_B12,-0.6744569386857774
VehBrand_B13,-0.32485851562049556
VehBrand_B14,-0.5599426579670694
VehBrand_B2,-0.3678560579439648
VehBrand_B3,-0.3184279768477481
VehBrand_B4,-0.35974720486579936
VehBrand_B5,-0.2815413096142029
VehBrand_B6,-0.32692200580078973
Region_R11,-0.2139980671414473
Region_R21,-0.18903592600259025
Region_R22,-0.12004321016642244
Region_R23,-0.2240458489366247
Region_R24,-0.2272555098295384
Region_R25,-0.22995612399782273
Region_R26,-0.17810489219429024
Region_R31,-0.19999274146696155
Region_R41,-0.32913212252777524
Region_R42,-0.1459098104413324
Region_R43,-0.3544647984198539
Region_R52,-0.20005694698717852
Region_R53,-0.2275368070615375
Region_R54,-0.1868481198893286
Region_R72,-0.16703393506491537
Region_R73,-0.47722982721116697
Region_R74,0.11533467569162562
Region_R82,-0.028899066758295233
Region_R83,-0.26429458899532504
Region_R91,-0.251705066707311
Region_R93,-0.12282818165207009
Region_R94,-0.08481714844945235
intercept,-2.6086917648344397
