,VehPower,VehAge,DrivAge,BonusMalus,Density,Area,VehGas,VehBrand_B1,VehBrand_B10,VehBrand_B11,VehBrand_B12,VehBrand_B13,VehBrand_B14,VehBrand_B2,VehBrand_B3,VehBrand_B4,VehBrand_B5,VehBrand_B6,Region_R11,Region_R21,Region_R22,Region_R23,Region_R24,Region_R25,Region_R26,Region_R31,Region_R41,Region_R42,Region_R43,Region_R52,Region_R53,Region_R54,Region_R72,Region_R73,Region_R74,Region_R82,Region_R83,Region_R91,Region_R93,Region_R94
VehPower,605.1595312359522,1267365.8628240887,1572231.774420191,5863940.004945082,0.0,0.0,0.0,0.0,0.0,0.0,147222.63045210205,0.023281391754855017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137823034434952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VehAge,0.0,456263.1803029563,138973.9807272489,475868.7031614807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002963561563278924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DrivAge,711090.5823131381,0.0,4043295.594065936,8278158.779797415,114964.75359821088,0.0,0.0,0.0,0.0,0.0,323675.3892096432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BonusMalus,0.0,0.05651849974794729,144855.90917641777,63251.32818305406,1.2129150968161053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Density,0.0,0.0,0.0,770584.0996382356,62632.59534332106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area,0.0,2013894.3293550445,1603026.6474126598,2150814.655749334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4632987551617225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VehGas,44.44722061671193,493169.46309459425,2029805.4644606162,1906477.212865557,0.0,0.0,0.002218226798301528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22571136351079846,0.0,0.0,0.0,0.0,0.0,309.8585363738456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VehBrand_B1,0.0,0.11321283524773154,1144347.5782019033,2449992.20089048,0.0,0.0,0.0,532285.6138778351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VehBrand_B10,39455.7193791219,0.0,0.0,23.848456997768352,0.0,0.0,0.0,0.0,57690.80319544657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VehBrand_B11,310504.7570190459,1497999.3309420326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189787.00860056386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VehBrand_B12,32288.103487859968,1053631.2746879566,-0.00024784676154773316,2081764.4896775358,-0.00026726747367954054,0.0,0.0,0.0,0.0,0.0,1183865.4034226402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VehBrand_B13,11549.042266306262,43689.228806673775,0.0,573035.1912686662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40708.00949761715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VehBrand_B14,0.0,0.0,0.0,9.203271561693855,41079.730909859034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14717.358577100069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VehBrand_B2,0.0,1.1105161339882155,1541982.9319217103,1988850.18011826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366689.41105462034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VehBrand_B3,0.0,0.0002636714038634512,260672.07150749012,533207.0456660015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70288.31664865144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VehBrand_B4,0.0,0.0,3551.4609631577687,601352.767963301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57559.473430567676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VehBrand_B5,0.0,0.0,31893.790921704196,515.5077127629346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008826681402049008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VehBrand_B6,0.0,0.0,3336.474298341759,20.254217165526487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region_R11,0.0,0.0,0.0,681405.3919639626,27258.274732403952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332123.62907647924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region_R21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region_R22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region_R23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region_R24,0.0,0.0,255145.41109915555,3994073.809916292,124324.94995025836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891982.7622690042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region_R25,0.0,0.0,0.0,15295.456434578706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region_R26,0.0,8.26231426744632e-05,0.0,326.45166364563414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region_R31,0.0,0.0,0.0,465052.4641161695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82214.53118812578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region_R41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region_R42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region_R43,0.013665509762764533,0.0,69764.76093717851,291624.8110073961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18162.963367360328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region_R52,0.0,0.0,0.0,551929.8635059288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4294974687803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region_R53,0.0,0.00029572954296564407,0.0,906158.0856604944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15423599542832697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region_R54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region_R72,0.0,0.0,40453.15279383733,123765.1535787797,339595.7032653671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.711431799160282,0.0,0.0,0.0,0.0,0.0,0.0,0.0
