,n_estimators
VehPower,236
VehAge,79
DrivAge,275
BonusMalus,75
Density,34
Area,175
VehGas,144
VehBrand_B1,86
VehBrand_B10,15
VehBrand_B11,86
VehBrand_B12,116
VehBrand_B13,21
VehBrand_B14,2
VehBrand_B2,87
VehBrand_B3,45
VehBrand_B4,30
VehBrand_B5,30
VehBrand_B6,1
Region_R11,39
Region_R21,0
Region_R22,0
Region_R23,0
Region_R24,112
Region_R25,5
Region_R26,1
Region_R31,24
Region_R41,0
Region_R42,0
Region_R43,82
Region_R52,40
Region_R53,22
Region_R54,0
Region_R72,36
Region_R73,1
Region_R74,14
Region_R82,84
Region_R83,18
Region_R91,110
Region_R93,62
Region_R94,0
