,n_estimators,beta0
VehPower,206,0.4464496776464577
VehAge,81,-1.7555400010800957
DrivAge,220,0.5849304692952988
BonusMalus,79,6.039876800166132
Density,32,-0.032949784595205374
Area,228,0.47709775765867685
VehBrand_B1,115,-0.25904568956931073
VehBrand_B10,15,-0.2326066133659431
VehBrand_B11,96,-0.09522919907901417
VehBrand_B12,171,-0.5538118243064105
VehBrand_B13,19,-0.20773705538927506
VehBrand_B14,2,-0.44541034972198124
VehBrand_B2,84,-0.25422426198273573
VehBrand_B3,16,-0.20429130240935928
VehBrand_B4,25,-0.24623996250469068
VehBrand_B5,29,-0.16771199340335682
VehBrand_B6,1,-0.21152157160256121
Region_R11,40,-0.1427903898397605
Region_R21,0,-0.11845458752556029
Region_R22,0,-0.04895694359064263
Region_R23,0,-0.15525307112725098
Region_R24,145,-0.1605908360386108
Region_R25,5,-0.1611599314277136
Region_R26,1,-0.111819157815381
Region_R31,23,-0.1295663677546027
Region_R41,0,-0.2625832203074353
Region_R42,0,-0.07637310052334952
Region_R43,85,-0.28521226963722807
Region_R52,36,-0.1303124199576579
Region_R53,21,-0.1584435983048061
Region_R54,0,-0.11797930821002854
Region_R72,36,-0.09817480621263383
Region_R73,1,-0.4082025631843405
Region_R74,14,0.18383177496939518
Region_R82,80,0.040631887831424456
Region_R83,18,-0.1948288350479122
Region_R91,127,-0.18058867531032666
Region_R93,49,-0.05419677490643781
Region_R94,0,-0.015521049097874776
VehGas_Diesel,88,-1.39627051909394
VehGas_Regular,141,-1.559969529179706
