,VehPower,VehAge,DrivAge,BonusMalus,Density,Area,VehBrand_B1,VehBrand_B10,VehBrand_B11,VehBrand_B12,VehBrand_B13,VehBrand_B14,VehBrand_B2,VehBrand_B3,VehBrand_B4,VehBrand_B5,VehBrand_B6,Region_R11,Region_R21,Region_R22,Region_R23,Region_R24,Region_R25,Region_R26,Region_R31,Region_R41,Region_R42,Region_R43,Region_R52,Region_R53,Region_R54,Region_R72,Region_R73,Region_R74,Region_R82,Region_R83,Region_R91,Region_R93,Region_R94,VehGas_Diesel,VehGas_Regular
0,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541,82486.3427217541
1,82484.13652399395,82483.20645234486,82479.34979537173,82477.53591504684,82476.50433197407,82475.85437237669,82474.41950992934,82474.16673583405,82473.87147302853,82472.16812278927,82471.87486765496,82471.417089817,82470.18606886987,82468.41401647366,82468.14214758042,82467.24018589816,82466.88234850866,82466.18572965969,82465.9677630617,82465.61220097048,82465.5200220713,82462.62952866964,82462.21911874754,82462.03104294618,82461.74032477345,82461.22184801064,82461.11526925745,82461.06053043675,82460.71244001109,82460.20687202283,82459.47653111957,82459.19146972618,82458.79891615966,82458.52191384266,82458.09033997667,82457.95314393303,82457.44028143419,82456.8733780384,82456.62104415706,82455.38772341091,82454.37631306263
2,82452.38820875093,82451.60567094604,82446.92026455479,82446.31013619859,82445.38368208583,82444.57850801852,82443.2175783568,82442.97408403497,82442.68595460069,82441.00628067274,82440.72039106081,82440.31515550832,82439.18209417397,82437.62023008749,82437.3563862789,82436.57353752741,82435.90654104557,82435.23778908177,82435.14078714323,82434.82386879208,82434.7194300896,82431.9403881141,82431.58078340226,82431.4122499513,82431.12927508619,82430.67339870372,82430.56885068092,82430.51515700297,82430.18029724549,82429.47042453621,82428.8218861015,82428.54435791544,82428.45091321063,82428.2229557815,82428.00404327773,82427.86907307364,82427.36496135945,82426.80716615939,82426.55838429375,82425.6326532439,82424.7117088112
3,82421.2200884608,82419.95588519899,82415.47621911611,82414.9676845781,82414.110537066,82413.3438340905,82412.07797040006,82411.92708350925,82411.64600628744,82409.91154496378,82409.6339575022,82409.27310910117,82408.2239976908,82406.8670929375,82406.62087557568,82406.33196478189,82405.7965722511,82405.15346951991,82405.05860781786,82404.78580190233,82404.69695079842,82402.03581524763,82401.71319964356,82401.56175708045,82401.28582892338,82401.1520226667,82401.0495017792,82400.99677925908,82400.6866502726,82400.02201733016,82399.44929964893,82399.19186613307,82399.10002884161,82398.90632389029,82398.72110326041,82398.58824413997,82398.09151445288,82397.54137221925,82397.29613071623,82396.44624983799,82395.49008073969
4,82392.17781668302,82391.00652883339,82385.14242105183,82384.70805952942,82383.90661559344,82383.20622371344,82382.00228456022,82381.85554512686,82381.58129294522,82379.99567265842,82379.72546394437,82379.33390858732,82378.40807371744,82377.21126147697,82376.9642625048,82376.69217393127,82376.48807382639,82375.87059962266,82375.77790844644,82375.53176617596,82375.4242213495,82372.87175606324,82372.57834092941,82372.44116239544,82372.17138349405,82372.03874865535,82371.93820453541,82371.8864196772,82371.69067979985,82371.30317536881,82370.78386560922,82370.53210897764,82370.44185093249,82370.27814093664,82370.11552717062,82369.98480392573,82369.49638637283,82368.9541416311,82368.71229341612,82367.92496437646,82367.0239538269
5,82363.88331213917,82362.69978068762,82357.00689579386,82356.62508863588,82355.86952805672,82354.98731042132,82353.8408910076,82353.69815520363,82353.43044663126,82351.81414741732,82351.55126500984,82351.44007550454,82350.56522561327,82350.1417248736,82349.90017581545,82349.6430313781,82349.46548662691,82349.0101622075,82348.91967327562,82348.69623078436,82348.5997522139,82346.15270285434,82345.88492290722,82345.75856159811,82345.49434438902,82345.36429892809,82345.26594427071,82345.21524309728,82345.02342638173,82344.65653261638,82344.18734325464,82343.94145695996,82343.85262004545,82343.70724086618,82343.56106292235,82343.43241434761,82342.95181951232,82342.41698516734,82342.17857711532,82341.442895026,82340.58665680789
6,82337.55542600229,82336.41161422846,82330.88563017089,82330.54785895455,82329.8265718712,82328.95349814562,82327.85985610596,82327.72098728383,82327.45958347584,82325.86938262597,82325.61326636444,82325.5041495808,82324.67474233118,82324.28221386936,82324.0463221431,82323.8020638133,82323.64990995545,82323.21324456736,82323.12498927282,82322.98230628308,82322.87183069414,82320.52247646046,82320.29012947393,82320.15455686452,82319.89599676867,82319.76503082275,82319.66845428658,82319.6187470262,82319.43034432211,82319.08144001401,82318.65434568752,82318.39919273043,82318.31174963026,82318.17974739312,82318.0474153462,82317.85530123126,82317.38356210919,82316.8578200993,82316.62269478077,82315.93265684278,82315.13051497846
7,82312.23694366963,82310.79096053472,82305.42436467388,82305.11095486436,82304.40682638006,82303.57247041148,82302.52939765224,82302.39425764221,82302.11324001665,82300.57092227583,82300.32144323712,82300.22439773241,82299.11789385782,82298.80667906233,82298.57598345599,82298.34259014335,82298.20743154136,82297.78795580586,82297.70179937215,82297.56166571475,82297.4394941321,82295.18839387104,82294.9588767397,82294.87886453942,82294.6256731255,82294.49669547737,82294.40181920532,82294.35307682396,82294.16846296207,82293.63052639863,82293.24388329864,82293.00853648502,82292.92250200652,82292.8017194161,82292.680568676,82292.49493848637,82292.00185272985,82291.47393611251,82291.24210067769,82290.56879257719,82289.07471470481
8,82286.31002203713,82284.9017332816,82279.63453757073,82279.33541158901,82278.70862690188,82277.899970528,82276.90414806383,82276.77249916724,82276.49801355187,82275.00542737413,82274.7623196175,82274.6670925114,82273.61097425324,82273.25673487,82273.03138630872,82272.80751348744,82272.68601707146,82272.28447248378,82272.20037748216,82272.06273668818,82271.97018510997,82269.81064573393,82269.59540051897,82269.46374551217,82269.21629283685,82269.09017423083,82268.99692968462,82268.94914292247,82268.76835968357,82268.44897082186,82268.09201561299,82267.86195799726,82267.77729836553,82267.66556072822,82267.55345458572,82267.4208236877,82266.93605914482,82266.41700724042,82266.18841186957,82264.86105261417,82263.41333168579
9,82260.77844918873,82259.40619838351,82254.12082327998,82253.48166163976,82252.88000076181,82252.07106046227,82251.11980274651,82250.99157277198,82250.72332076202,82249.36157073763,82249.12503809681,82249.02114767824,82248.01273231812,82247.52802354432,82247.3080012181,82247.09438521523,82246.98961629244,82246.48057427836,82246.39848313516,82246.19027003675,82246.09955792176,82244.03184698414,82243.84599034919,82243.76923389504,82243.52754372146,82243.40037147238,82243.30884372804,82243.26207383537,82243.08501209607,82242.59069311591,82242.274801188,82242.03550083436,82241.69013189194,82241.60638100028,82241.50226352306,82241.37165033603,82240.89492626477,82240.38435008336,82240.15891183086,82238.69293936239,82236.87269498117
