,X1,X2,X3,X4,X5,X6,X7,X8
0,152405.375635964,152405.375635964,152405.375635964,152405.375635964,152405.375635964,152405.375635964,152405.375635964,152405.375635964
1,152402.13276792224,152255.40298048104,152095.4591235953,151782.48612359382,151472.05287905358,151427.7931442273,151423.40152093818,151327.86596505245
2,151324.7118293738,151182.70661174838,151025.97734784207,150723.21973043718,150422.77785325827,150379.4551528552,150375.24777339346,150283.36110676688
3,150280.29281408855,150142.8231713434,149986.62761402555,149692.8444962341,149401.92922684044,149359.52193239232,149355.49118267844,149265.86180360283
4,149262.86717863145,149129.75393467172,148973.26459303213,148689.08340496122,148406.81174467516,148365.01821360659,148361.15371517785,148277.12352535894
5,148274.21889528946,148145.21350067918,147991.7641239799,147676.23421441898,147403.30956524145,147362.45246678492,147358.74964166386,147275.59256607585
6,147272.76774960346,147147.8213441654,146994.64630718727,146727.97340560477,146420.1823209069,146380.38522022736,146376.83807973817,146300.80016770997
7,146298.34214576604,146170.8656743823,146025.8420400325,145729.78671764434,145432.02592013078,145392.71517744922,145389.3295889118,145313.9193113302
8,145311.5176285543,145187.94323641848,145040.89837491425,144753.8678961698,144505.35297529,144467.0647677855,144464.2825926321,144391.3780349684
9,144389.47732191093,144269.5948471588,144126.03298705013,143883.2105952112,143642.49523755914,143604.87381314987,143601.87073885003,143529.06415916962
10,143526.97801554686,143413.57030423975,143266.180119157,142995.7491323897,142723.2944504511,142686.01554106455,142683.46190653712,142614.76063684997
11,142612.51345161145,142499.53008446112,142360.76837190802,142098.7264752778,141835.5109432988,141799.58879866544,141797.15223555296,141728.0749398429
12,141726.0775624232,141615.30657730013,141471.09030845767,141250.5546936349,141031.25689431204,140995.4338429624,140993.09164733754,140927.24971274805
13,140925.29834026116,140812.561374411,140675.94388123232,140429.09865310744,140181.3257942142,140146.81075339642,140144.20259688504,140075.7427155408
14,140073.4353510359,139965.68156873324,139824.10116578807,139549.3346341644,139309.76905258844,139275.33975704038,139272.7981615651,139210.57478647618
15,139208.71656077003,139099.31309052726,138971.97888634744,138705.06410806405,138442.52842513128,138409.50009616732,138407.59386323884,138348.35265283822
16,138345.986134594,138244.1397652226,138106.28587094834,137879.88631449477,137657.79318471858,137624.53466893383,137622.75541278775,137561.50161905712
17,137559.90744577092,137459.68920195702,137330.55583302554,137112.65176145264,136895.54072442654,136864.85430837964,136863.07814511168,136807.65367318934
18,136805.81479657712,136706.32640169945,136582.12169079212,136339.52564159443,136101.58894676418,136069.46971767663,136067.7627923377,136013.86024258524
19,136012.06853786,135920.916237424,135787.71558474167,135551.1071717391,135345.1328267451,135314.5354472755,135312.75876662522,135261.0889266354
20,135259.29481801525,135166.690388332,135046.30752166425,134847.38925176236,134623.87702897697,134593.98486785113,134591.85545354127,134541.53234188224
21,134539.81966754445,134451.10616082203,134323.49002406988,134129.11544608674,133906.11941146158,133876.4336788184,133875.17012478883,133825.39437526756
22,133823.86390097358,133730.9914305914,133610.20075228272,133394.49124534865,133179.41912067326,133150.48791738486,133148.25660059685,133097.60492514475
23,133095.9237123473,133007.96434486768,132889.42851832788,132681.94098766858,132505.87981807906,132477.1852964496,132475.22940778616,132431.88349790082
24,132430.2765018199,132342.49807387852,132218.26718405512,132042.63111964756,131841.03638338507,131811.77324374957,131809.6759566145,131764.6959609703
25,131763.2540780375,131677.97063564733,131556.75777216192,131364.22538816405,131196.39720526966,131169.76751942097,131167.73890243197,131122.6951616845
26,131121.1118944749,131033.87902580152,130925.27921920738,130734.12477754737,130544.69784297862,130516.14462991717,130514.36792436459,130474.75908615027
27,130473.24974536235,130391.4786933065,130274.29318311473,130115.1169272247,129936.34760668657,129909.35179044551,129907.444418572,129866.83784767461
28,129865.36229345077,129782.93191130398,129685.23055814765,129506.07235706439,129351.00388328766,129324.41985072706,129322.57680477148,129285.50819750981
29,129284.02944538053,129203.60075303724,129088.75545617753,128940.7401539275,128765.10268809673,128739.03697052434,128734.10723791282,128696.03335732644
30,128694.72015106035,128615.70567538781,128502.55902792035,128335.46146740777,128170.47126569808,128144.99497626425,128140.39475612252,128105.23858123313
31,128103.83537260823,128030.93425259103,127919.14836645157,127756.54433147635,127594.92327879046,127568.61437194579,127564.01650951695,127528.38550625194
32,127527.00826440711,127451.67157739581,127357.18529461804,127201.02578167623,127042.77235158146,127018.218244874,127013.64795450508,126980.98607147404
33,126980.20351770014,126905.31008091876,126796.96239535618,126644.91642547717,126535.75089407939,126511.29714651288,126506.99127454207,126471.1406609385
34,126469.91240737397,126398.76355165683,126297.42464058491,126170.47936677343,126021.23155640092,125997.34285455619,125990.3291899948,125960.43055259119
35,125959.12241108365,125892.28490036324,125788.35972348688,125644.48615055124,125502.16882918692,125478.51197370613,125471.67032713899,125439.29621652432
36,125438.55160660899,125371.77846770643,125280.26771969073,125161.43731099294,125023.21122028778,124999.8233341198,124993.14189083388,124960.33592282093
37,124959.08491212227,124890.62126413024,124790.01320903358,124658.14402606816,124525.23911651396,124502.51401856856,124496.03184718065,124467.75787455818
38,124466.61253103225,124400.82361765813,124313.17761029815,124200.14838238535,124089.61395052873,124067.12244334049,124058.30099888681,124030.46387920539
39,124029.7542639683,123965.83755190724,123866.7533114476,123740.32803289453,123613.6361878576,123591.62916614345,123583.06264207723,123551.8583321977
40,123551.15535494301,123491.40964684094,123401.0422608222,123278.79582240173,123157.41291946307,123134.83418867337,123115.21317447937,123087.75355152084
41,123086.56753617476,123027.17633040767,122931.81260572877,122813.17795331671,122693.89610319026,122672.35361260956,122653.38970425838,122626.71257463582
42,122626.11642784314,122568.59368697635,122486.04841454492,122371.81719182158,122256.20114268959,122234.91252554522,122216.41882696215,122188.4157047809
43,122187.47285038297,122131.86281321272,122035.2251613885,121938.82392559091,121828.32619165635,121807.66426762631,121789.75234951475,121764.94093986764
44,121763.60119693112,121708.19365327319,121623.72064912893,121514.22898766134,121405.62723207995,121384.47182607584,121367.1942441452,121343.3902801736
45,121342.5378279302,121288.36670238298,121196.17478724197,121089.33125440136,120983.8392073997,120964.65515720384,120947.51067949772,120922.23619985508
46,120920.91488087241,120866.81448278458,120773.16950634617,120670.79889354353,120599.44727270752,120578.76454082014,120562.12363015937,120540.31437160361
47,120539.42702346115,120486.97329999096,120395.28211035905,120295.38452346317,120194.04069956644,120174.85361852843,120155.8626839853,120134.57024346017
48,120133.72984729803,120083.89028806952,120005.06196281532,119924.27140469302,119828.2416035285,119808.09625992764,119789.41725739719,119769.02692437771
49,119767.44736804583,119719.92020744759,119639.20092012743,119545.35149512539,119450.15319486734,119431.79613039405,119413.72846162778,119393.87296159242
50,119392.08412749931,119345.01864041341,119257.25225818882,119180.43075044599,119090.73450273769,119071.24139010036,119053.50093896683,119032.44294235628
51,119030.63128668384,118984.17840324884,118896.58253879231,118808.32896402947,118718.89739236495,118701.3771984337,118684.25164260832,118665.79587312997
52,118664.01924640615,118618.48324752452,118530.82177296781,118445.84800110244,118374.89090926445,118356.99535126708,118339.93562804945,118321.85447452505
53,118320.11918217977,118275.23665437348,118210.72984239456,118124.90696142064,118040.5064078088,118022.12875173739,118005.96202196628,117988.38699782192
