,VehPower,VehAge,DrivAge,BonusMalus,Density,Diesel
0,181178.8423274948,181178.8423274948,181178.8423274948,181178.8423274948,181178.8423274948,181178.8423274948
1,181074.69157505102,181030.3319192925,180970.25934198138,180928.23544019824,180903.65829326207,180871.7349670689
2,180794.73116884078,180744.6498221921,180694.27820402404,180662.78467859115,180642.71458000707,180620.5019987359
3,180566.79697424718,180523.5791204478,180474.7375921026,180460.46823222985,180444.56879104063,180426.98718630604
4,180383.04937097162,180345.07303312977,180297.623708021,180285.06708338717,180273.4036082622,180255.2692719695
5,180223.1836000027,180191.94279330084,180151.4190915309,180143.36798015353,180132.94225419202,180117.10662540322
6,180089.30396481056,180063.84188462177,180032.53820305338,180021.85661244835,180013.86258261104,179995.67751473293
7,179970.47129635816,179945.7135418737,179911.64850504627,179904.50112872187,179896.8012260811,179883.4826601309
8,179859.78421916495,179837.57104813124,179809.71853953833,179804.20188841462,179797.7770984633,179784.4995388667
9,179761.99706018245,179740.49729590514,179714.08536896683,179707.55129178514,179703.28612100286,179692.96503923312
10,179675.44669010126,179654.42461594508,179624.98977783113,179620.42335616512,179616.15402436303,179603.69775946674
11,179584.23310378633,179561.2719508723,179532.49315602233,179524.96024297652,179520.1080068403,179504.89443541825
12,179489.0240275886,179469.6821164835,179450.4992988216,179437.83693396475,179431.68454822904,179418.1082865813
13,179397.3544353259,179385.0057326493,179361.30425622562,179356.72964330702,179348.89734371434,179334.78032402362
14,179317.00147014583,179300.535932659,179282.70829927188,179277.7993607034,179272.41673418687,179261.05677151144
15,179247.70301890644,179235.13253430265,179225.28407684522,179202.09259244837,179196.48678197304,179187.26131107856
16,179172.27496082144,179157.35911289166,179146.08193118637,179111.37878133182,179106.72639950592,179091.07905607144
17,179071.89101254143,179061.49675196275,179048.29844620416,179019.93450239763,179015.2935001479,179003.59779408353
18,178989.77622676746,178977.5109638682,178961.7216783844,178953.99364372226,178950.96567103785,178941.08149884676
19,178929.15028679505,178915.4319276412,178906.87951807186,178891.66386454576,178888.79041027717,178881.68044366484
20,178866.98656363713,178857.21572904178,178842.1908500209,178825.29763694428,178823.091017546,178812.50710375176
21,178795.6265207678,178787.5460087223,178779.25836931216,178775.89323853044,178773.66671569904,178764.38067237995
22,178746.13441414436,178738.45682543993,178730.59870006758,178704.22644653442,178701.94048178097,178690.53375318617
23,178683.74514047438,178677.85157884564,178670.24282174988,178659.72556398975,178657.83247663052,178649.35361926805
24,178634.81636645878,178626.92247753096,178617.22293126385,178615.11662711858,178613.01778320526,178607.53385235788
25,178593.95708899538,178587.4598894288,178581.679813945,178569.70836351925,178568.24454548908,178560.36364795774
26,178553.84533007944,178548.3103391154,178533.2235485283,178519.81154925778,178517.3472394595,178512.97777229687
27,178498.40692673682,178491.54928145438,178486.51586280382,178485.11147479608,178482.7466328101,178473.9367126182
28,178459.80007270467,178456.83757215962,178451.4627908764,178438.2318852704,178435.8816949765,178432.41446111805
29,178418.59775837502,178414.10158321526,178409.1429144076,178407.08512001642,178405.82035436586,178400.1671008963
30,178395.18691164113,178390.0186263146,178382.957521218,178379.24376505625,178377.36301963608,178372.26192005485
31,178362.58330525123,178356.62082718321,178348.86409032784,178346.68437767582,178343.8827531014,178339.01795012673
32,178335.92538398132,178330.7978268581,178324.46397816922,178322.63591670594,178319.74489776557,178312.0457654653
33,178308.22175113577,178304.110203205,178297.73253265716,178296.56504849545,178292.9651484314,178289.28986633362
34,178275.2758660257,178271.37922477224,178265.16426294154,178262.4984343046,178260.30144208507,178254.5509930461
35,178241.761893455,178233.3574202829,178229.12526729025,178223.47460423104,178221.35435341258,178216.64771223697
36,178212.84712773684,178210.41208239118,178205.94117792905,178204.73273246066,178202.35686072885,178199.13706896076
37,178190.84759301107,178186.4954987949,178183.2095549223,178178.08336140602,178174.5813264884,178172.3630397499
38,178161.10446806974,178158.80858931018,178151.85487657384,178150.61891003328,178148.63367742987,178145.77848402155
39,178142.29689972932,178135.8475036404,178131.65314158742,178129.29148540276,178126.52236226824,178123.7364856138
40,178113.8754215911,178109.61206944578,178104.19957192248,178103.00181684643,178100.22255320667,178097.95420093078
41,178093.71410969086,178090.40398230837,178088.02887624904,178087.39434046182,178085.9369303577,178082.55570400984
42,178073.42233349278,178069.50257756037,178065.28525414178,178063.6424183891,178062.18690308547,178058.2652069335
43,178052.70045261318,178046.13052644086,178043.87642574267,178040.00194355918,178039.06930784514,178036.4897235487
