,beta0
VehPower,0.5162656771738744
VehAge,-1.7707546534780578
DrivAge,0.6105675325581089
BonusMalus,6.08564190561393
Density,-0.04147171244441815
Area,0.4434539399855205
VehGas,-0.1608272664809656
VehBrand_B1,-0.384043543012855
VehBrand_B10,-0.38880368609166965
VehBrand_B11,-0.22154325481494208
VehBrand_B12,-0.6962920904049635
VehBrand_B13,-0.32412873667016034
VehBrand_B14,-0.5699866555238491
VehBrand_B2,-0.3791464758844109
VehBrand_B3,-0.34580808376889444
VehBrand_B4,-0.359271841611006
VehBrand_B5,-0.31353642407987253
VehBrand_B6,-0.3403332720159453
Region_R11,-0.22430862083516018
Region_R21,-0.3503063316631824
Region_R22,-0.12739209810997656
Region_R23,-0.2750898668542967
Region_R24,-0.2521101700745842
Region_R25,-0.2619581262907251
Region_R26,-0.24579571593092084
Region_R31,-0.20128545464326777
Region_R41,-0.3136670688579301
Region_R42,-0.23823714089725098
Region_R43,-0.31817567010056014
Region_R52,-0.21533109722121713
Region_R53,-0.2475166591256081
Region_R54,-0.20029785856961707
Region_R72,-0.21333359885959924
Region_R73,-0.4585501217610939
Region_R74,0.06930719487096182
Region_R82,-0.04174457310479474
Region_R83,-0.2838950339806749
Region_R91,-0.2850224303821835
Region_R93,-0.12875116918048396
Region_R94,-0.11128873688780908
intercept,-2.609598976705063
