,VehPower,VehAge,DrivAge,BonusMalus,Density,Area,VehGas,VehBrand_B1,VehBrand_B10,VehBrand_B11,VehBrand_B12,VehBrand_B13,VehBrand_B14,VehBrand_B2,VehBrand_B3,VehBrand_B4,VehBrand_B5,VehBrand_B6,Region_R11,Region_R21,Region_R22,Region_R23,Region_R24,Region_R25,Region_R26,Region_R31,Region_R41,Region_R42,Region_R43,Region_R52,Region_R53,Region_R54,Region_R72,Region_R73,Region_R74,Region_R82,Region_R83,Region_R91,Region_R93,Region_R94
VehPower,6.854942536878132e-05,0.13180311495699834,0.08876715386712453,0.7433647681737526,0.0,0.0,0.0,0.0,0.0,0.0,0.03599641357675582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VehAge,0.0,0.32381784186703005,0.1537041372278343,0.5224780198767133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0284224957319098e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DrivAge,0.0,0.0,0.252901365947253,0.7470986293827319,4.6700152502212465e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BonusMalus,0.0,2.1230157476055675e-06,0.7427195853947627,0.25727739505655767,8.936189150046037e-07,0.0,0.0,0.0,0.0,0.0,2.9140171518220483e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Density,1.7593710613635721e-09,0.0,0.0,0.9346249385505674,0.0653750596900616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area,0.0,0.07588051973554773,0.1529431811646154,0.7711762990998369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VehGas,0.0,0.054011080783552184,0.5599882634024927,0.3860006552028821,0.0,0.0,6.110730099552572e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VehBrand_B1,1.1561675893509748e-06,0.009763107824176933,0.3296196066516591,0.574071242721328,0.02440579432758658,0.0,0.0,0.062139092307660106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VehBrand_B10,0.52287351906356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47712648093643995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VehBrand_B11,0.6089557180743114,0.11365028672719547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.277393995198493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VehBrand_B12,0.02132208059429603,0.2699713012097209,0.0,0.3726410313533059,0.0,0.0,0.0,0.0,0.0,0.0,0.33606558684267707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VehBrand_B13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VehBrand_B14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VehBrand_B2,0.0,0.0,0.42341608081407556,0.5496370281686361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026946891017288224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VehBrand_B3,0.0,1.8070315006935537e-10,0.12951300859422238,0.3390301563950475,0.4332684672903327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09818836753969436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VehBrand_B4,0.0,0.0,0.010882940312064188,0.9891161092221663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.504657695224914e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
