,n_estimators
VehPower,145
VehAge,63
DrivAge,155
BonusMalus,65
Density,30
Area,92
VehGas,121
VehBrand_B1,145
VehBrand_B10,1
VehBrand_B11,38
VehBrand_B12,95
VehBrand_B13,0
VehBrand_B14,0
VehBrand_B2,86
VehBrand_B3,73
VehBrand_B4,43
VehBrand_B5,23
VehBrand_B6,25
Region_R11,50
Region_R21,2
Region_R22,14
Region_R23,8
Region_R24,127
Region_R25,0
Region_R26,4
Region_R31,10
Region_R41,13
Region_R42,16
Region_R43,0
Region_R52,21
Region_R53,90
Region_R54,3
Region_R72,0
Region_R73,13
Region_R74,9
Region_R82,76
Region_R83,0
Region_R91,53
Region_R93,78
Region_R94,9
