,0,1,2
0,12484.300810216946,12484.300810216946,12484.300810216946
1,12477.517487006291,12339.696541257079,12165.588559296246
2,12160.227879748783,12029.7143770422,11886.943914063258
3,11879.653272750636,11768.792079975483,11638.118422699685
4,11635.535207902503,11546.713911895802,11434.18657220903
5,11430.451654224069,11353.961611442026,11246.20446806528
6,11242.371417638842,11171.726944435646,11076.634033069022
7,11070.125644506075,11014.526999613165,10940.016279231531
8,10937.27270778153,10890.79217572681,10822.458721071274
9,10819.984698649823,10780.87635527898,10723.615825510911
10,10717.041860165438,10680.176496371125,10617.262768463846
11,10607.943444191524,10580.380974035383,10530.936693931877
12,10520.134340333168,10494.10291933981,10460.2122336205
13,10451.959627536567,10430.766324503196,10389.392145222824
14,10384.258506506047,10367.415978131914,10333.511163897601
15,10326.29860912465,10311.52545379398,10282.047716107827
16,10272.216990993033,10261.242932157726,10237.201170818855
17,10231.457457113205,10219.574000409175,10209.345611324392
18,10200.202535983313,10188.869841022371,10169.630358216891
19,10162.810856562972,10154.82407601302,10138.225323434399
20,10135.860526812205,10127.135287334058,10116.834299766298
21,10113.746316912948,10107.863548391157,10092.81223826679
22,10089.511266313088,10082.986141961843,10076.933008059941
23,10071.879281211763,10066.702163791353,10058.087148677501
24,10051.415693807845,10046.950638416896,10042.580739444365
25,10040.277773381342,10035.263334062947,10026.405827843144
26,10019.239545197312,10014.969447609878,10011.387240439086
27,10008.160692720608,10004.484932494055,9995.977471312519
28,9991.937016255786,9988.318176011753,9985.711719462526
29,9982.059681641444,9979.33050433927,9974.083883207857
30,9970.276144290594,9965.3289472149,9960.908677208878
31,9956.64714806789,9952.706481909736,9950.711763993788
32,9949.047392122084,9946.173210026784,9939.659721992266
33,9935.765085226565,9932.46019693166,9930.870831956643
34,9925.148687323748,9922.851134901008,9919.456558129317
35,9917.70865502683,9914.374325540797,9913.040355920404
36,9909.751054360506,9905.282513467304,9900.292220810175
37,9896.764862506765,9890.772628939787,9887.076905168808
38,9884.149982952793,9878.911072294646,9875.417614056336
39,9872.071755781999,9868.671696127582,9867.517376611508
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
